1 	Baltimore 	18.5 	20.0 	27.0 	17.0 	19.9 	18.9
2 	Dallas 	18.9 	18.7 	23.0 	18.3 	19.7 	20.8
3 	Chicago 	19.0 	17.3 	6.0 	17.6 	20.7 	20.0
4 	Tennessee 	19.5 	21.7 	9.0 	17.0 	21.7 	22.9
5 	Houston 	19.9 	18.0 	24.0 	19.0 	21.0 	27.2
6 	Seattle 	20.5 	16.7 	7.0 	19.7 	21.1 	20.8
7 	LA Chargers 	20.8 	20.3 	21.0 	21.5 	20.1 	17.0
8 	Jacksonville 	21.0 	18.0 	30.0 	13.5 	27.4 	17.7
9 	Denver 	21.7 	15.7 	20.0 	21.5 	21.9 	23.9
10 	New Orleans 	21.8 	14.7 	14.0 	24.0 	19.9 	21.2
11 	Minnesota 	22.4 	20.7 	21.0 	19.3 	25.0 	17.4
12 	New England 	22.5 	19.0 	34.0 	19.7 	25.0 	19.5
13 	Philadelphia 	22.7 	21.3 	29.0 	19.1 	26.8 	18.2
14 	Washington 	22.8 	33.0 	40.0 	24.7 	20.7 	24.2
15 	Indianapolis 	23.1 	17.0 	21.0 	22.7 	23.4 	25.2
16 	Pittsburgh 	23.5 	27.0 	24.0 	26.2 	21.3 	20.8
17 	Green Bay 	23.6 	21.3 	20.0 	19.1 	28.8 	24.0
18 	LA Rams 	24.1 	27.3 	15.0 	27.2 	21.4 	20.9
19 	Detroit 	24.5 	18.7 	3.0 	25.9 	23.0 	23.5
20 	Buffalo 	24.6 	23.0 	27.0 	26.2 	23.3 	21.7
21 	Arizona 	25.2 	26.3 	17.0 	22.9 	27.8 	22.6
22 	NY Jets 	25.4 	25.3 	23.0 	29.2 	22.1 	23.9
23 	NY Giants 	25.5 	22.7 	16.0 	28.2 	23.1 	24.2
24 	Cleveland 	25.5 	23.0 	20.0 	22.6 	29.0 	25.6
25 	Carolina 	25.5 	26.7 	26.0 	23.2 	27.6 	21.1
26 	Miami 	25.6 	25.7 	33.0 	22.3 	29.5 	24.6
27 	San Francisco 	26.9 	28.0 	14.0 	23.0 	30.3 	23.9
28 	Kansas City 	27.0 	37.0 	24.0 	18.7 	34.1 	21.2
29 	Atlanta 	28.2 	30.3 	34.0 	28.7 	27.7 	19.1
30 	Tampa Bay 	29.5 	18.0 	28.0 	20.6 	39.8 	23.9
31 	Oakland 	29.8 	31.7 	21.0 	33.0 	27.1 	23.3
32 	Cincinnati 	30.5 	28.3 	26.0 	30.3 	30.8 	21.8
