1 	Kansas City 	35.6 	31.7 	28.0 	32.0 	39.3 	25.6
2 	New Orleans 	32.8 	16.7 	12.0 	38.0 	28.9 	27.9
3 	LA Rams 	32.0 	19.7 	23.0 	35.6 	28.4 	28.9
4 	LA Chargers 	28.2 	29.3 	29.0 	29.3 	27.4 	22.2
5 	Pittsburgh 	27.4 	22.7 	17.0 	32.0 	22.9 	26.4
6 	Chicago 	27.4 	22.0 	24.0 	28.1 	26.3 	16.5
7 	New England 	26.7 	22.3 	10.0 	33.5 	21.6 	28.9
8 	Indianapolis 	26.6 	15.7 	23.0 	30.1 	23.0 	16.4
9 	Seattle 	25.9 	29.0 	23.0 	27.2 	25.0 	22.9
10 	Atlanta 	25.4 	25.3 	40.0 	29.5 	20.0 	21.6
11 	Houston 	25.1 	26.3 	29.0 	26.7 	23.6 	21.1
12 	Tampa Bay 	24.6 	16.7 	12.0 	21.1 	28.0 	20.9
13 	Baltimore 	24.4 	23.3 	20.0 	27.3 	21.4 	24.7
14 	Cincinnati 	24.1 	20.3 	30.0 	24.1 	24.0 	18.1
15 	Carolina 	23.8 	15.3 	9.0 	27.7 	19.9 	22.9
16 	Green Bay 	23.7 	22.7 	17.0 	27.1 	20.3 	20.0
17 	Minnesota 	23.1 	19.3 	41.0 	23.7 	22.4 	23.2
18 	Philadelphia 	22.2 	27.0 	30.0 	21.3 	23.1 	29.0
19 	Cleveland 	22.1 	18.7 	17.0 	20.4 	23.7 	14.6
20 	NY Giants 	21.9 	23.3 	0.0 	18.1 	25.7 	15.4
21 	Denver 	21.9 	18.0 	16.0 	21.0 	22.7 	18.1
22 	San Francisco 	21.5 	20.7 	26.0 	23.0 	20.0 	20.7
23 	Miami 	21.1 	24.0 	17.0 	25.0 	17.1 	17.6
24 	NY Jets 	20.9 	23.7 	22.0 	21.4 	20.3 	18.6
25 	Detroit 	20.3 	15.3 	13.0 	20.0 	20.6 	25.6
26 	Dallas 	19.7 	14.0 	0.0 	24.7 	14.7 	22.1
27 	Tennessee 	19.1 	24.3 	17.0 	22.7 	16.5 	20.6
28 	Washington 	18.9 	15.0 	16.0 	19.1 	18.7 	21.4
29 	Oakland 	18.6 	24.3 	16.0 	24.8 	13.9 	18.8
30 	Jacksonville 	16.1 	9.3 	13.0 	15.7 	16.4 	25.9
31 	Buffalo 	15.4 	18.0 	14.0 	15.6 	15.1 	17.9
32 	Arizona 	13.7 	12.3 	14.0 	12.7 	14.7 	18.4
